text,sentiment,video_id,target_neg,target_neu,target_pos,like_count,source_url
Boring this new snow white ruin Disney instead of playing the same scenes she followed her own foot steps boring,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
The September 11th attacks have been forgotten about since the day this was released,negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
She is jealous i think... i wish i can watch it. but i have to wait.... I think she is acting like this because her first love betrayed her.,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
The true that's he love her,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Just so bad,negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
Saw this movie 🎥 with my girlfriend it was good,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
"Mirror Mirror on my Phone, this movie should be left alone.",negative,iV46TJKL8cU,0.8,0.15,0.05,3,https://www.youtube.com/watch?v=iV46TJKL8cU
"Why is she still the mistress of evil, if all that she does is to take care of that little girl? It would me like me, calling myself the supreme Lord of darkness and sorrow, but I'm just feeding my black cat all the time.",positive,n0OFH4xpPr4,0.05,0.15,0.8,2589,https://www.youtube.com/watch?v=n0OFH4xpPr4
Disney: we are a diverse and inclusive company also Disney: we don't hire dwarves....,negative,iV46TJKL8cU,0.8,0.15,0.05,42812,https://www.youtube.com/watch?v=iV46TJKL8cU
"What happened to the prince!?! His face got so long... I just prefer the original prince because he felt more humble to me. I guess since it has been a few years, that’s the explanation for the actor change.",positive,n0OFH4xpPr4,0.05,0.15,0.8,193,https://www.youtube.com/watch?v=n0OFH4xpPr4
All new hollywood movies are cringe damn old version was scary when i was growing up.,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Turned off my adblocker so I can enjoy the ads,negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
I didn't even know there was a second one.....wtf 2021,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
Iam just like a Maleficent. Lol; seriously 🙄😂,positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
This movie makes the 2 Percy Jackson movies look like cinematic masterpieces,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
Saw the movie ... so much better than the first one and I loved the first one!,positive,n0OFH4xpPr4,0.05,0.15,0.8,0,https://www.youtube.com/watch?v=n0OFH4xpPr4
for the people with no extension: 64 thousand likes 1.9 million dislikes,negative,iV46TJKL8cU,0.8,0.15,0.05,524,https://www.youtube.com/watch?v=iV46TJKL8cU
The dwarfs look more cgi than ps1 hagrid,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
I'd pay $18 and sit in an Imax theater just to watch a scroll of this comments section.,negative,iV46TJKL8cU,0.8,0.15,0.05,2442,https://www.youtube.com/watch?v=iV46TJKL8cU
Shown in: The Lion King IT: Chapter 2 Hustlers The Addams Family,positive,n0OFH4xpPr4,0.05,0.15,0.8,1,https://www.youtube.com/watch?v=n0OFH4xpPr4
"Disney: leave the comments on , the worst they'll say is no Comments: music time!",negative,iV46TJKL8cU,0.8,0.15,0.05,1619,https://www.youtube.com/watch?v=iV46TJKL8cU
Charlize Theron and Angelina Jolie is Always Rocks these type Roles.,positive,n0OFH4xpPr4,0.05,0.15,0.8,2,https://www.youtube.com/watch?v=n0OFH4xpPr4
I’m convinced the only reason Disney didn’t turn the comments off is because they had to admit they were funny,negative,iV46TJKL8cU,0.8,0.15,0.05,192,https://www.youtube.com/watch?v=iV46TJKL8cU
"The fact the trailer has 1.8m dislikes and most the hate comment have triple the amount of likes the video has is astonishing to say the least, but I'm here for it.",negative,iV46TJKL8cU,0.8,0.15,0.05,474,https://www.youtube.com/watch?v=iV46TJKL8cU
I wish the apple won in this version,negative,iV46TJKL8cU,0.8,0.15,0.05,4,https://www.youtube.com/watch?v=iV46TJKL8cU
"When im feeling bad, i usually come here stop the video and see the comments",negative,iV46TJKL8cU,0.8,0.15,0.05,1,https://www.youtube.com/watch?v=iV46TJKL8cU
mirror mirror on my wall oh wate thats not a wall theres a hole in my wall that i bashed in to trying to escape this movie,negative,iV46TJKL8cU,0.8,0.15,0.05,0,https://www.youtube.com/watch?v=iV46TJKL8cU
Its going to be one of my favorite movies now n for the rest of my life.... waiting for the part 3👍😍😍,positive,n0OFH4xpPr4,0.05,0.15,0.8,5,https://www.youtube.com/watch?v=n0OFH4xpPr4
Prince: lets get married Aurora: YES. Maleficente:IM FINNA END THIS WHOLE MANS CAREER,positive,n0OFH4xpPr4,0.05,0.15,0.8,1547,https://www.youtube.com/watch?v=n0OFH4xpPr4
